id,title_clean,company,sector,location_clean,contract_clean,source_label,scrape_date,scrape_month,has_description,posted_at
1,Production Manager,ZOPPAS INDUSTRIES,Non classifié,Monastir,CDI,keejob,2026-09-21,2026-09,Oui,2026-09-21
2,TECHNICIEN(NE) QUALITÉ PROCESS,ELECTRONIC TUNISI SYSTEM,Non classifié,Tunis,CDI,keejob,2026-09-21,2026-09,Oui,2026-09-21
3,Engineering Manager,ZOPPAS INDUSTRIES,Non classifié,Monastir,CDI,keejob,2026-09-21,2026-09,Oui,2026-09-21
4,Quality Manager,ZOPPAS INDUSTRIES,Non classifié,Monastir,CDI,keejob,2026-09-21,2026-09,Oui,2026-09-21
5,Professeur(e) de mathématiques,GROUPE SCOLAIRE RENE DESCARTES,Non classifié,Tunis,CDI,keejob,2026-09-21,2026-09,Oui,2026-09-21
6,Assitante Financiére et Administraf,MERCI POUR LE CADEAU,Non classifié,Sousse,CDI,keejob,2026-09-21,2026-09,Oui,2026-09-21
7,Gestionnaire Sinistres Maritime et Transport,ASSURANCE MAGHREBIA,Non classifié,Tunis,CDI,keejob,2026-09-21,2026-09,Oui,2026-09-21
8,Ingénieur Chef d'Atelier Mécanique (Meg),SOTUCHOC,Non classifié,Tunis,CDI,keejob,2026-09-21,2026-09,Oui,2026-09-21
9,Planificateur,SOTUBI,Non classifié,Ben Arous,CDI,keejob,2026-09-21,2026-09,Oui,2026-09-21
10,Directeur Comptabilité Finance,ROSE BLANCHE GROUP,Non classifié,Sousse,CDI,keejob,2026-09-21,2026-09,Oui,2026-09-21
81,Professeur(e) d’Histoire Géographie,GROUPE SCOLAIRE RENE DESCARTES,Non classifié,Tunis,CDI,keejob,2026-09-21,2026-09,Oui,2026-09-21
11,Vendeur/ Caissier Zara Home Tunisia Mall,TUNTEX,Non classifié,"Pour Accompagner Son Développement, Le Groupe Indi",Non précisé,keejob,2026-09-21,2026-09,Oui,2026-09-21
12,Femme de ménage,ETABLISSEMENTS ABDELMOULA,Non classifié,Manouba,CDD,keejob,2026-09-21,2026-09,Oui,2026-09-21
13,Responsable Magasin,GROUPE JUDY,Non classifié,Nabeul,CDI,keejob,2026-09-21,2026-09,Oui,2026-09-21
14,Technicienne en génie civil,GYPCO,Non classifié,Ariana,SIVP,keejob,2026-09-21,2026-09,Oui,2026-09-21
15,Assistante Administrative,AYCOPASTRY,Non classifié,Tunis,CDI,keejob,2026-09-21,2026-09,Oui,2026-09-21
16,Chargé(e) de Recouvrement et Contentieux,EL AMEL MICROFINANCE,Non classifié,Ben Arous,CDI,keejob,2026-09-21,2026-09,Oui,2026-09-21
17,comptable,,Non classifié,"Douar Hicher,
                                    ",CDI,keejob,2026-09-21,2026-09,Oui,2026-09-21
23,Chargée de Logistique,ESILAB TUNISIE,Non classifié,Ariana,CDI,keejob,2026-09-21,2026-09,Oui,2026-09-21
132,assistante commerciale-créatrice de contenu,CTIG FORMATION,Non classifié,Tunis,SIVP,keejob,2026-09-21,2026-09,Oui,2026-09-21
18,Un(e) Agent Transit,TERIAK,Non classifié,"Bir Mcherga,
                                     ",CDI,keejob,2026-09-21,2026-09,Oui,2026-09-21
19,Ingénieur Étude Photovoltaïque,SATER SOLAR,Non classifié,Sfax,CDI,keejob,2026-09-21,2026-09,Oui,2026-09-21
20,Magasiniers,,Non classifié,Sfax,CDI,keejob,2026-09-21,2026-09,Oui,2026-09-21
21,responsable développement RH Groupe,STAROIL,Non classifié,Ben Arous,CDI,keejob,2026-09-21,2026-09,Oui,2026-09-21
22,Assistant Commercial,GENIUS GLOBAL BUSINESS,Non classifié,"Cite El Khadra,
                                  ",CDD,keejob,2026-09-21,2026-09,Oui,2026-09-21
303,Support Commercial Cartes,,Non classifié,Tunis,Non précisé,ReKrute,2026-09-21,2026-09,Non,2026-09-21
24,Customer Success Manager,,Non classifié,Nabeul,CDI,keejob,2026-09-21,2026-09,Oui,2026-09-21
25,Professeur(e) d’EPS,GROUPE SCOLAIRE RENE DESCARTES,Non classifié,Tunis,CDI,keejob,2026-09-21,2026-09,Oui,2026-09-21
26,Assistante Commerciale,AKATIS TRADING,Non classifié,Tunis,CDI,keejob,2026-09-21,2026-09,Oui,2026-09-21
