company,job_count
OUTSOURCIA,13
PARTNER RECRUITMENT,11
DXC Technology,10
GROUPE SCOLAIRE RENE DESCARTES,10
Devoteam,9
SFBT,9
RED TIC,9
AYACHI GROUP,8
STMicroelectronics,8
GROUPE JUDY,7
Orisha,7
Linedata,7
CPL JOBS,7
SOTUCHOC,6
TunisieJob,6
ECG ASSURANCES,5
ACTIVE CONTACT,5
HR HOUSE INTERNATIONAL,5
EL AMEL MICROFINANCE,5
TP,4
ZOPPAS INDUSTRIES,4
FIS,4
FINOPTI TN,4
Faurecia,4
PwC Tunisia,4
CFE TUNISIE,4
AMEN SANTE,4
ELECTRONIC TUNISI SYSTEM,4
ENPAL,4
PHARMAGHREB,4
MICROCRED,4
NeoXam,3
LEONI TUNISIA,3
Growth Accelerator Services,3
JEMS,3
ServicePower,3
STAROIL,3
TECHNIPLAST INDUSTRIE,3
TERIAK,3
Valeo,3
TotalEnergies,3
TANIS,3
Oolab,3
POULINA GROUP HOLDING,3
ODDO BHF,3
NTU International A/S,3
ITRS,3
METAM,3
AUTOP,3
BEST PACK,3
